,current task,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle,device
0,1,1,2.3554456590576254,0.6954643628509719,1.6754000186920166,1.6754000186920166,0.01,100,True,cuda
1,1,2,0.5024261802241817,0.7804175665946724,0.07773542404174805,1.7531354427337646,0.01,100,True,cuda
2,1,3,0.3653623499700369,0.8603311735061195,0.07873702049255371,1.8318724632263184,0.01,100,True,cuda
3,1,4,0.24962641192563925,0.9251259899208063,0.08072948455810547,1.9126019477844238,0.01,100,True,cuda
4,1,5,0.1679111570548977,0.9496040316774658,0.07874059677124023,1.991342544555664,0.01,100,True,cuda
5,1,6,0.09826761684759304,0.9766018718502519,0.08072566986083984,2.072068214416504,0.01,100,True,cuda
6,1,7,0.07136379989082647,0.9823614110871131,0.08272314071655273,2.1547913551330566,0.01,100,True,cuda
7,1,8,0.07249038407942475,0.97264218862491,0.07774019241333008,2.2325315475463867,0.01,100,True,cuda
8,1,9,0.06712091676059431,0.978401727861771,0.0778665542602539,2.3103981018066406,0.01,100,True,cuda
9,1,10,0.07560865560116058,0.9694024478041756,0.1186060905456543,2.429004192352295,0.01,100,True,cuda
10,2,1,0.05085943341209083,0.9836014851485149,0.15060186386108398,0.15060186386108398,0.01,100,True,cuda
11,2,2,0.05335343229390754,0.9801980198019802,0.14520668983459473,0.2958085536956787,0.01,100,True,cuda
12,2,3,0.17017177566609318,0.9443069306930693,0.1445159912109375,0.4403245449066162,0.01,100,True,cuda
13,2,4,0.11853272806954487,0.9464727722772277,0.14053010940551758,0.5808546543121338,0.01,100,True,cuda
14,2,5,0.08472363659558763,0.9709158415841584,0.14389371871948242,0.7247483730316162,0.01,100,True,cuda
15,2,6,0.06812962067156735,0.9798886138613861,0.144517183303833,0.8692655563354492,0.01,100,True,cuda
16,2,7,0.06538868760966723,0.9832920792079208,0.14053010940551758,1.0097956657409668,0.01,100,True,cuda
17,2,8,0.06628506409354729,0.9718440594059405,0.18039631843566895,1.1911921501159668,0.01,100,True,cuda
18,2,9,0.05650615099630789,0.9758663366336634,0.14251947402954102,1.3337116241455078,0.01,100,True,cuda
19,2,10,0.046428374549037414,0.9814356435643564,0.14551281929016113,1.479224443435669,0.01,100,True,cuda
20,3,1,0.09872669908479076,0.9616519174041298,0.15034866333007812,0.15034866333007812,0.01,100,True,cuda
21,3,2,0.10454294715725039,0.9539085545722714,0.1797499656677246,0.33009862899780273,0.01,100,True,cuda
22,3,3,0.0553130380215898,0.9808259587020649,0.1398179531097412,0.46991658210754395,0.01,100,True,cuda
23,3,4,0.07784799479530537,0.9660766961651918,0.13953304290771484,0.6094496250152588,0.01,100,True,cuda
24,3,5,0.0688007572589574,0.9697640117994101,0.13953351974487305,0.7489831447601318,0.01,100,True,cuda
25,3,6,0.10538660168680733,0.9561209439528023,0.17783331871032715,0.926816463470459,0.01,100,True,cuda
26,3,7,0.07950210917444356,0.9653392330383481,0.1455385684967041,1.072355031967163,0.01,100,True,cuda
27,3,8,0.11730963258199108,0.9561209439528023,0.1415095329284668,1.2138645648956299,0.01,100,True,cuda
28,3,9,0.05594830403027501,0.9778761061946902,0.17840361595153809,1.392268180847168,0.01,100,True,cuda
29,3,10,0.04171555650566092,0.9856194690265486,0.13959980010986328,1.5318679809570312,0.01,100,True,cuda
30,4,1,0.0637974514246204,0.9726941747572816,0.24119305610656738,0.24119305610656738,0.01,100,True,cuda
31,4,2,0.06253456722298474,0.970873786407767,0.23348164558410645,0.47467470169067383,0.01,100,True,cuda
32,4,3,0.1040725654592394,0.9590412621359223,0.19152498245239258,0.6661996841430664,0.01,100,True,cuda
33,4,4,0.08810189789052582,0.9663228155339806,0.22723913192749023,0.8934388160705566,0.01,100,True,cuda
34,4,5,0.04266033003454829,0.9824029126213593,0.24418354034423828,1.137622356414795,0.01,100,True,cuda
35,4,6,0.038541152167983934,0.9878640776699029,0.23366284370422363,1.3712852001190186,0.01,100,True,cuda
36,4,7,0.033358868948428086,0.9902912621359223,0.1933588981628418,1.5646440982818604,0.01,100,True,cuda
37,4,8,0.05563860534107114,0.9787621359223301,0.22896218299865723,1.7936062812805176,0.01,100,True,cuda
38,4,9,0.08818950415453286,0.9626820388349514,0.23022985458374023,2.023836135864258,0.01,100,True,cuda
39,4,10,0.07079382309265145,0.9702669902912622,0.2331380844116211,2.256974220275879,0.01,100,True,cuda
